Player,Minutes,Games,Wins,Losses,Win %,Red Games,Blue Games,Red Wins,Blue Wins,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against
Werth,9.1,1,0,1,0.0,1,0,0,0,0.0,0.0,0.0,5.0,36.0,5.0,6.0,15.0,18.0,19.0,2.0,16.0,90.0,5.0,37.0,391.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,3.0,0.0,-1.0,-0.10989010989010989,0.0,0.5494505494505495,3.956043956043956,0.5494505494505495,0.6593406593406593,1.6483516483516485,1.978021978021978,2.087912087912088,0.21978021978021978,0.125,0.0,0.2,0.0,0.13333333333333333,0.2,3.0,7.2,1.2666666666666666,0.04859335038363171
rizzmaster,8.9,2,2,0,1.0,1,1,1,1,1.0,1.0,1.0,13.0,101.0,11.0,11.0,7.0,8.0,17.0,2.0,14.0,81.0,0.0,32.0,363.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,5.0,0.0,1.0,1.0,3.0,0.33707865168539325,0.11235955056179775,1.4606741573033708,11.348314606741573,1.2359550561797752,1.2359550561797752,0.7865168539325842,0.898876404494382,1.9101123595505618,0.2247191011235955,0.14285714285714285,0.07692307692307693,0.23076923076923078,0.0,0.42857142857142855,0.7142857142857143,0.7272727272727273,7.769230769230769,2.4285714285714284,0.046831955922865015
Thermostat,8.9,1,1,0,1.0,0,1,0,1,0.0,1.0,0.0,12.0,130.0,12.0,15.0,10.0,10.0,45.0,4.0,16.0,84.0,0.0,32.0,330.0,3.0,2.0,0.0,0.0,0.0,3.0,0.0,5.0,3.0,0.0,0.0,1.0,0.11235955056179775,0.0,1.348314606741573,14.606741573033707,1.348314606741573,1.6853932584269662,1.1235955056179774,1.1235955056179774,5.056179775280898,0.449438202247191,0.25,0.0,0.16666666666666666,0.0,0.3,0.5,0.6666666666666666,10.833333333333334,4.5,0.13636363636363635
hail santa,8.9,1,1,0,1.0,0,1,0,1,0.0,1.0,1.0,12.0,82.0,11.0,12.0,10.0,10.0,41.0,0.0,16.0,102.0,5.0,41.0,330.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.11235955056179775,0.11235955056179775,1.348314606741573,9.213483146067416,1.2359550561797752,1.348314606741573,1.1235955056179774,1.1235955056179774,4.606741573033708,0.0,0.0,0.08333333333333333,0.25,0.0,0.0,0.3,0.8333333333333334,6.833333333333333,4.1,0.12424242424242424
Terry,8.9,1,0,1,0.0,1,0,0,0,0.0,0.0,1.0,16.0,124.0,15.0,16.0,6.0,6.0,27.0,0.0,16.0,108.0,0.0,42.0,389.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,-1.0,-0.11235955056179775,0.11235955056179775,1.797752808988764,13.932584269662922,1.6853932584269662,1.797752808988764,0.6741573033707865,0.6741573033707865,3.033707865168539,0.0,0.0,0.0625,0.25,0.0,0.3333333333333333,0.3333333333333333,0.375,7.75,4.5,0.06940874035989718
AVP,8.9,1,1,0,1.0,0,1,0,1,0.0,1.0,2.0,14.0,92.0,12.0,13.0,8.0,8.0,23.0,0.0,16.0,70.0,10.0,30.0,330.0,0.0,2.0,1.0,1.0,0.0,3.0,1.0,4.0,1.0,0.0,0.0,1.0,0.11235955056179775,0.2247191011235955,1.5730337078651684,10.337078651685394,1.348314606741573,1.4606741573033708,0.898876404494382,0.898876404494382,2.5842696629213484,0.0,0.0,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.375,0.5,0.6153846153846154,6.571428571428571,2.875,0.0696969696969697
Goofy Goober,8.8,1,0,1,0.0,0,1,0,0,0.0,0.0,0.0,9.0,147.0,9.0,14.0,9.0,9.0,21.0,0.0,16.0,50.0,0.0,20.0,311.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,-1.0,-0.11363636363636363,0.0,1.0227272727272727,16.704545454545453,1.0227272727272727,1.5909090909090908,1.0227272727272727,1.0227272727272727,2.3863636363636362,0.0,0.0,0.0,0.3333333333333333,0.0,0.1111111111111111,0.1111111111111111,0.6428571428571429,16.333333333333332,2.3333333333333335,0.06752411575562701
\m\=^_^=/m/,8.8,1,1,0,1.0,1,0,1,0,1.0,0.0,1.0,10.0,61.0,9.0,12.0,6.0,6.0,67.0,3.0,16.0,76.0,0.0,30.0,262.0,0.0,3.0,0.0,0.0,1.0,3.0,1.0,3.0,3.0,0.0,0.0,1.0,0.11363636363636363,0.11363636363636363,1.1363636363636362,6.931818181818182,1.0227272727272727,1.3636363636363635,0.6818181818181818,0.6818181818181818,7.613636363636363,0.3409090909090909,0.1875,0.1,0.3,0.0,0.5,0.5,0.5,6.1,11.166666666666666,0.25572519083969464
PotatoPotato,8.8,1,0,1,0.0,0,1,0,0,0.0,0.0,1.0,13.0,27.0,12.0,17.0,4.0,12.0,7.0,6.0,16.0,62.0,0.0,24.0,311.0,0.0,7.0,3.0,2.0,0.0,1.0,0.0,2.0,5.0,8.0,0.0,-1.0,-0.11363636363636363,0.11363636363636363,1.477272727272727,3.068181818181818,1.3636363636363635,1.9318181818181817,0.45454545454545453,1.3636363636363635,0.7954545454545454,0.6818181818181818,0.375,0.07692307692307693,0.5384615384615384,0.15384615384615385,0.25,0.5,0.7058823529411765,2.076923076923077,1.75,0.022508038585209004
DiegoOnMac,8.8,1,1,0,1.0,1,0,1,0,1.0,0.0,2.0,13.0,84.0,11.0,15.0,5.0,11.0,17.0,3.0,16.0,83.0,15.0,35.0,262.0,0.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0,4.0,6.0,0.0,1.0,0.11363636363636363,0.22727272727272727,1.477272727272727,9.545454545454545,1.25,1.7045454545454544,0.5681818181818181,1.25,1.9318181818181817,0.3409090909090909,0.1875,0.15384615384615385,0.23076923076923078,0.15384615384615385,0.0,0.2,0.7333333333333333,6.461538461538462,3.4,0.0648854961832061
kwib,8.5,1,0,1,0.0,1,0,0,0,0.0,0.0,1.0,6.0,126.0,5.0,9.0,11.0,11.0,81.0,0.0,16.0,40.0,0.0,16.0,364.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,8.0,4.0,0.0,0.0,-1.0,-0.11764705882352941,0.11764705882352941,0.7058823529411765,14.823529411764707,0.5882352941176471,1.0588235294117647,1.2941176470588236,1.2941176470588236,9.529411764705882,0.0,0.0,0.16666666666666666,0.0,0.0,0.45454545454545453,0.7272727272727273,1.2222222222222223,21.0,7.363636363636363,0.22252747252747251
Robiny,8.5,1,0,1,0.0,1,0,0,0,0.0,0.0,0.0,6.0,36.0,6.0,11.0,5.0,6.0,39.0,3.0,16.0,70.0,0.0,28.0,364.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,1.0,0.0,-1.0,-0.11764705882352941,0.0,0.7058823529411765,4.235294117647059,0.7058823529411765,1.2941176470588236,0.5882352941176471,0.7058823529411765,4.588235294117647,0.35294117647058826,0.1875,0.0,0.16666666666666666,0.0,0.2,0.6,0.5454545454545454,6.0,7.8,0.10714285714285714
cherryrammer,8.4,1,1,0,1.0,0,1,0,1,0.0,1.0,0.0,2.0,2.0,2.0,6.0,16.0,21.0,75.0,2.0,16.0,57.0,25.0,27.0,326.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,6.0,4.0,5.0,0.0,1.0,0.11904761904761904,0.0,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.7142857142857143,1.9047619047619047,2.5,8.928571428571429,0.23809523809523808,0.125,0.0,0.5,0.0,0.1875,0.375,3.5,1.0,4.6875,0.23006134969325154
Some Ball 1,8.4,1,0,1,0.0,0,1,0,0,0.0,0.0,1.0,15.0,84.0,14.0,18.0,11.0,11.0,14.0,1.0,16.0,68.0,10.0,28.0,383.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,-1.0,-0.11904761904761904,0.11904761904761904,1.7857142857142856,10.0,1.6666666666666665,2.142857142857143,1.3095238095238095,1.3095238095238095,1.6666666666666665,0.11904761904761904,0.0625,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.09090909090909091,0.2727272727272727,0.6111111111111112,5.6,1.2727272727272727,0.03655352480417755
WinCtrlShftB,8.4,1,1,0,1.0,1,0,1,0,1.0,0.0,0.0,7.0,49.0,7.0,9.0,7.0,11.0,10.0,3.0,16.0,61.0,5.0,25.0,371.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,0.11904761904761904,0.0,0.8333333333333333,5.833333333333333,0.8333333333333333,1.0714285714285714,0.8333333333333333,1.3095238095238095,1.1904761904761905,0.35714285714285715,0.1875,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,1.2222222222222223,7.0,1.4285714285714286,0.026954177897574125
Bootymine,8.4,1,0,1,0.0,0,1,0,0,0.0,0.0,1.0,14.0,101.0,13.0,14.0,7.0,8.0,0.0,4.0,16.0,97.0,3.0,38.0,383.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,-1.0,-0.11904761904761904,0.11904761904761904,1.6666666666666665,12.023809523809524,1.5476190476190474,1.6666666666666665,0.8333333333333333,0.9523809523809523,0.0,0.47619047619047616,0.25,0.07142857142857142,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.5714285714285714,7.214285714285714,0.0,0.0
