Map,Games,RedWins,BlueWins,Red Win %,Blue Win %
Audacity 2,1508,763,745,0.5059681697612732,0.49403183023872677
Moon Base 2024,1411,754,657,0.5343727852586818,0.46562721474131824
Pine,325,137,188,0.42153846153846153,0.5784615384615385
Asida,1728,895,833,0.5179398148148148,0.4820601851851852
Oak,787,413,374,0.5247776365946633,0.47522236340533675
Combine,1157,573,584,0.49524632670700086,0.5047536732929991
OTI MERALD,772,377,395,0.4883419689119171,0.5116580310880829
Centenaria,1190,606,584,0.5092436974789916,0.4907563025210084
GFY,133,70,63,0.5263157894736842,0.47368421052631576
Milano 2,1127,591,536,0.5244010647737356,0.4755989352262644
Catch-24,388,216,172,0.5567010309278351,0.44329896907216493
Willow 2,669,332,337,0.4962630792227205,0.5037369207772795
Sardonica,728,337,391,0.46291208791208793,0.5370879120879121
A Flaccid Type Map,1217,610,607,0.5012325390304027,0.4987674609695974
Crawfish Boil,1,1,0,1.0,0.0
OTI Jardim,300,165,135,0.55,0.45
Sugar Free Hill,171,79,92,0.4619883040935672,0.5380116959064327
Nuke,112,59,53,0.5267857142857143,0.4732142857142857
Thicket 2,304,144,160,0.47368421052631576,0.5263157894736842
Apparition 2023,130,68,62,0.5230769230769231,0.47692307692307695
Pilot 3,77,37,40,0.4805194805194805,0.5194805194805194
Haste,55,26,29,0.4727272727272727,0.5272727272727272
