Player,Minutes,Games,Wins,Losses,Win %,Red Games,Blue Games,Red Wins,Blue Wins,Red Win %,Blue Win %,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,NDPops,NRTags,KF,CD,CD/Min,Caps/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min,Pup %,Score %,Flaccid %,Chain %,QR %,RIB %,K/D,Hold/Grab,Prevent/Return,Prevent/Hold Against
Modric,17.3,3,1,2,0.3333333333333333,2,1,1,0,0.5,0.0,1.0,21.0,88.0,20.0,25.0,24.0,27.0,58.0,3.0,30.0,190.0,0.0,74.0,775.0,0.0,10.0,5.0,3.0,0.0,4.0,3.0,5.0,5.0,3.0,0.0,-2.0,-0.11560693641618497,0.057803468208092484,1.2138728323699421,5.086705202312139,1.1560693641618496,1.445086705202312,1.3872832369942196,1.560693641618497,3.352601156069364,0.17341040462427745,0.1,0.047619047619047616,0.47619047619047616,0.14285714285714285,0.16666666666666666,0.20833333333333334,1.08,4.190476190476191,2.4166666666666665,0.07483870967741936
No one,17.2,3,2,1,0.6666666666666666,1,2,0,2,0.0,1.0,2.0,19.0,91.0,17.0,22.0,16.0,16.0,177.0,1.0,31.0,217.0,0.0,86.0,596.0,1.0,5.0,2.0,2.0,0.0,4.0,0.0,7.0,5.0,0.0,0.0,3.0,0.1744186046511628,0.11627906976744186,1.1046511627906976,5.290697674418605,0.9883720930232559,1.2790697674418605,0.9302325581395349,0.9302325581395349,10.290697674418604,0.05813953488372093,0.03225806451612903,0.10526315789473684,0.2631578947368421,0.10526315789473684,0.25,0.4375,0.7272727272727273,4.7894736842105265,11.0625,0.29697986577181207
Dank Blocks,17.0,3,1,2,0.3333333333333333,2,1,1,0,0.5,0.0,0.0,31.0,168.0,31.0,33.0,18.0,18.0,115.0,5.0,28.0,225.0,0.0,90.0,594.0,0.0,13.0,5.0,2.0,0.0,7.0,0.0,8.0,2.0,0.0,0.0,-3.0,-0.17647058823529413,0.0,1.8235294117647058,9.882352941176471,1.8235294117647058,1.9411764705882353,1.0588235294117647,1.0588235294117647,6.764705882352941,0.29411764705882354,0.17857142857142858,0.0,0.41935483870967744,0.06451612903225806,0.3888888888888889,0.4444444444444444,0.5454545454545454,5.419354838709677,6.388888888888889,0.1936026936026936
MaxW,17.0,3,2,1,0.6666666666666666,1,2,1,1,1.0,0.5,1.0,37.0,146.0,36.0,37.0,9.0,15.0,80.0,3.0,29.0,245.0,0.0,96.0,516.0,0.0,15.0,5.0,2.0,0.0,3.0,2.0,3.0,1.0,6.0,0.0,2.0,0.11764705882352941,0.058823529411764705,2.176470588235294,8.588235294117647,2.1176470588235294,2.176470588235294,0.5294117647058824,0.8823529411764706,4.705882352941177,0.17647058823529413,0.10344827586206896,0.02702702702702703,0.40540540540540543,0.05405405405405406,0.3333333333333333,0.3333333333333333,0.40540540540540543,3.945945945945946,8.88888888888889,0.15503875968992248
Swully,16.9,3,1,2,0.3333333333333333,2,1,0,1,0.0,1.0,1.0,17.0,167.0,16.0,19.0,22.0,25.0,116.0,3.0,28.0,150.0,0.0,58.0,734.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0591715976331361,1.0059171597633136,9.881656804733728,0.9467455621301776,1.124260355029586,1.3017751479289943,1.4792899408284026,6.863905325443787,0.1775147928994083,0.10714285714285714,0.058823529411764705,0.11764705882352941,0.0,0.18181818181818182,0.3181818181818182,1.3157894736842106,9.823529411764707,5.2727272727272725,0.15803814713896458
spills,16.9,3,3,0,1.0,3,0,3,0,1.0,0.0,0.0,24.0,212.0,23.0,26.0,23.0,23.0,26.0,6.0,28.0,178.0,0.0,68.0,690.0,2.0,7.0,2.0,1.0,0.0,6.0,1.0,7.0,3.0,0.0,1.0,3.0,0.1775147928994083,0.0,1.4201183431952664,12.544378698224854,1.3609467455621302,1.5384615384615385,1.3609467455621302,1.3609467455621302,1.5384615384615385,0.3550295857988166,0.21428571428571427,0.0,0.2916666666666667,0.041666666666666664,0.2608695652173913,0.30434782608695654,0.8846153846153846,8.833333333333334,1.1304347826086956,0.03768115942028986
><><><><><><,16.700000000000003,2,1,1,0.5,1,1,1,0,1.0,0.0,4.0,25.0,290.0,21.0,22.0,14.0,17.0,32.0,3.0,30.0,198.0,0.0,78.0,781.0,5.0,8.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.2395209580838323,1.497005988023952,17.36526946107784,1.2574850299401195,1.3173652694610776,0.838323353293413,1.0179640718562872,1.9161676646706585,0.17964071856287422,0.1,0.16,0.32,0.04,0.07142857142857142,0.14285714285714285,0.7727272727272727,11.6,2.2857142857142856,0.040973111395646605
itagpro,16.7,3,2,1,0.6666666666666666,1,2,1,1,1.0,0.5,2.0,23.0,184.0,21.0,25.0,15.0,19.0,47.0,5.0,28.0,218.0,0.0,86.0,761.0,1.0,8.0,1.0,0.0,0.0,4.0,1.0,5.0,4.0,4.0,0.0,1.0,0.059880239520958084,0.11976047904191617,1.377245508982036,11.017964071856287,1.25748502994012,1.4970059880239521,0.8982035928143713,1.1377245508982037,2.81437125748503,0.29940119760479045,0.17857142857142858,0.08695652173913043,0.34782608695652173,0.0,0.26666666666666666,0.3333333333333333,0.76,8.0,3.1333333333333333,0.06176084099868594
I SHOUT,16.7,2,2,0,1.0,1,1,1,1,1.0,1.0,2.0,27.0,164.0,25.0,26.0,17.0,18.0,43.0,1.0,30.0,212.0,0.0,84.0,662.0,1.0,6.0,4.0,3.0,0.0,6.0,2.0,9.0,1.0,1.0,0.0,6.0,0.3592814371257485,0.11976047904191617,1.6167664670658684,9.820359281437126,1.4970059880239521,1.5568862275449102,1.0179640718562875,1.0778443113772456,2.5748502994011977,0.059880239520958084,0.03333333333333333,0.07407407407407407,0.2222222222222222,0.1111111111111111,0.35294117647058826,0.5294117647058824,0.6923076923076923,6.074074074074074,2.5294117647058822,0.0649546827794562
Ace93,16.5,2,2,0,1.0,1,1,1,1,1.0,1.0,1.0,29.0,224.0,27.0,27.0,19.0,19.0,25.0,6.0,30.0,189.0,0.0,74.0,702.0,3.0,9.0,5.0,5.0,0.0,4.0,1.0,3.0,0.0,0.0,1.0,3.0,0.18181818181818182,0.06060606060606061,1.7575757575757576,13.575757575757576,1.6363636363636365,1.6363636363636365,1.1515151515151516,1.1515151515151516,1.5151515151515151,0.36363636363636365,0.2,0.034482758620689655,0.3103448275862069,0.1724137931034483,0.21052631578947367,0.15789473684210525,0.7037037037037037,7.724137931034483,1.3157894736842106,0.03561253561253561
