Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
tha king,Red,9.3,1,0,12,63,12,14,14,14,67,1,18,112,10,46,307,1.0,5.56,0.0,2,0,0,5.25,4.79,0.22,0,4,2,0,0,1,3,5,33.33,0.0,7.14,35.71
knight_,Blue,9.3,-1,2,12,74,10,10,12,12,53,1,18,124,20,52,270,1.2,5.56,16.67,0,0,0,6.17,4.42,0.2,4,0,0,0,0,1,1,3,0.0,0.0,8.33,25.0
CA$H.,Blue,9.3,-1,1,8,34,7,14,19,23,130,2,18,86,15,37,270,1.64,11.11,12.5,7,4,0,4.25,6.84,0.48,3,0,0,0,0,7,0,9,0.0,0.0,36.84,47.37
jerm,Red,9.3,1,2,11,66,9,9,8,14,107,4,18,79,15,33,307,1.56,22.22,18.18,0,6,0,6.0,13.38,0.35,0,1,2,1,0,0,0,1,9.09,50.0,0.0,12.5
Irony,Red,9.3,1,2,11,79,9,12,12,16,119,3,18,85,25,39,307,1.33,16.67,18.18,3,4,0,7.18,9.92,0.39,1,4,0,0,0,0,0,3,36.36,0.0,0.0,25.0
mc,Blue,9.3,-1,1,16,149,15,20,7,8,44,2,18,134,15,55,270,0.4,11.11,6.25,5,1,0,9.31,6.29,0.16,6,0,1,0,0,4,0,4,0.0,0.0,57.14,57.14
Anti_Social,Blue,9.3,-1,0,9,50,9,13,10,10,163,2,18,149,10,60,270,0.77,11.11,0.0,4,0,0,5.56,16.3,0.6,2,1,0,0,0,4,0,5,11.11,0.0,40.0,50.0
NUTSNUTSNUTS,Red,9.3,1,1,19,62,18,18,6,11,39,3,18,106,20,46,307,0.61,16.67,5.26,0,5,0,3.26,6.5,0.13,0,7,1,0,1,0,0,3,36.84,0.0,0.0,50.0
