Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
Champagne,Blue,8.0,2,2,11,105,9,12,6,7,30,0,14,98,5,39,290,0.58,0.0,18.18,3,1,0,9.55,5.0,0.1,1,2,0,0,0,1,2,2,18.18,0.0,16.67,33.33
Witcher,Red,8.0,-2,1,11,70,10,12,7,10,63,2,14,103,5,41,280,0.83,14.29,9.09,2,3,0,6.36,9.0,0.22,0,4,1,0,0,2,1,2,36.36,0.0,28.57,28.57
Balled Eagle,Red,8.0,-2,1,10,57,8,11,5,11,30,2,14,110,25,49,280,1.0,14.29,10.0,3,6,1,5.7,6.0,0.11,0,1,0,0,1,0,0,0,10.0,0.0,0.0,0.0
mex,Blue,8.0,2,1,5,56,4,8,19,22,80,4,14,88,18,37,290,2.75,28.57,20.0,4,3,0,11.2,4.21,0.28,1,2,0,0,0,3,3,7,40.0,0.0,15.79,36.84
Werth,Blue,8.0,2,1,8,55,7,10,5,8,62,1,14,98,30,44,290,0.8,7.14,12.5,3,3,0,6.88,12.4,0.21,0,1,0,0,0,1,0,2,12.5,0.0,20.0,40.0
jerm,Blue,8.0,2,2,9,64,6,11,8,13,27,3,14,69,5,27,290,1.18,21.43,22.22,5,5,1,7.11,3.38,0.09,1,2,1,1,0,2,0,4,22.22,100.0,25.0,50.0
KING KRULE,Red,8.0,-2,1,13,108,12,13,6,10,13,2,14,103,35,47,280,0.77,14.29,7.69,1,4,0,8.31,2.17,0.05,1,1,4,2,0,2,1,3,7.69,50.0,33.33,50.0
skee lo,Red,8.0,-2,1,11,55,10,17,8,8,83,0,14,97,25,43,280,0.47,0.0,9.09,7,0,0,5.0,10.38,0.3,0,2,1,0,0,2,0,1,18.18,0.0,25.0,12.5
