Player,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %,CD/Min,Captures/Min,Grabs/Min,Hold/Min,Drops/Min,Pops/Min,Returns/Min,Tags/Min,Prevent/Min,Pups/Min
#SelfySyntax,49.1,1,7,87,572,79,83,44,62,151,10,91,533,45,217,1584,0.75,10.99,8.05,4,18,1,6.57,3.43,0.1,7,31,9,2,1,14,2,16,35.63,22.22,31.82,36.36,0.02,0.14,1.77,11.65,1.61,1.69,0.9,1.26,3.08,0.2
/~,55.4,-6,1,86,721,85,99,42,51,126,8,107,660,5,261,2292,0.52,7.48,1.16,14,9,0,8.38,3.0,0.05,10,23,8,3,0,2,2,4,26.74,37.5,4.76,9.52,-0.11,0.02,1.55,13.01,1.53,1.79,0.76,0.92,2.27,0.14
1 Pixel Juke,8.9,-2,0,14,121,14,17,12,13,16,2,14,87,50,44,401,0.76,14.29,0.0,3,1,0,8.64,1.33,0.04,2,4,2,0,0,0,1,0,28.57,0.0,0.0,0.0,-0.22,0.0,1.57,13.6,1.57,1.91,1.35,1.46,1.8,0.22
11th Cmndmnt,77.7,-7,8,101,764,91,118,95,100,468,14,138,822,45,333,2999,0.85,10.14,7.92,27,5,2,7.56,4.93,0.16,6,21,7,3,0,32,4,38,20.79,42.86,33.68,40.0,-0.09,0.1,1.3,9.83,1.17,1.52,1.22,1.29,6.02,0.18
12384,8.1,-1,0,15,99,15,17,8,8,50,2,14,103,0,40,270,0.47,14.29,0.0,2,0,0,6.6,6.25,0.19,0,2,2,1,0,1,0,3,13.33,50.0,12.5,37.5,-0.12,0.0,1.85,12.22,1.85,2.1,0.99,0.99,6.17,0.25
13 volcanos,18.8,3,6,35,238,29,34,20,23,74,6,32,218,20,90,700,0.68,18.75,17.14,5,3,0,6.8,3.7,0.11,2,8,8,5,0,1,0,5,22.86,62.5,5.0,25.0,0.16,0.32,1.86,12.66,1.54,1.81,1.06,1.22,3.94,0.32
13.5 inches,98.2,-10,3,39,284,36,79,192,215,990,27,184,729,80,298,3729,2.72,14.67,7.69,43,23,0,7.28,5.16,0.27,0,3,2,1,0,67,7,69,7.69,50.0,34.9,35.94,-0.1,0.03,0.4,2.89,0.37,0.8,1.96,2.19,10.08,0.27
1deag,96.8,3,13,98,648,85,124,128,196,907,38,178,832,161,355,2934,1.58,21.35,13.27,39,68,0,6.61,7.09,0.31,7,29,15,6,1,50,8,57,29.59,40.0,39.06,44.53,0.03,0.13,1.01,6.69,0.88,1.28,1.32,2.02,9.37,0.39
2P1S,166.3,26,36,301,2220,262,292,170,190,587,24,311,2070,130,842,5513,0.65,7.72,11.96,30,20,3,7.38,3.45,0.11,17,73,29,9,4,43,11,53,24.25,31.03,25.29,31.18,0.16,0.22,1.81,13.35,1.58,1.76,1.02,1.14,3.53,0.14
360broscope,171.7,-12,17,186,1111,166,237,254,290,1491,55,311,1961,198,805,5456,1.22,17.68,9.14,71,36,3,5.97,5.87,0.27,7,59,28,10,2,95,13,110,31.72,35.71,37.4,43.31,-0.07,0.1,1.08,6.47,0.97,1.38,1.48,1.69,8.68,0.32
555555555555,79.2,-4,9,100,696,90,113,95,105,324,10,150,814,45,329,3202,0.93,6.67,9.0,23,10,1,6.96,3.41,0.1,2,26,9,4,1,28,3,35,26.0,44.44,29.47,36.84,-0.05,0.11,1.26,8.79,1.14,1.43,1.2,1.33,4.09,0.13
><><><><><><,74.3,-16,8,142,983,134,166,73,92,143,17,136,896,75,363,2974,0.55,12.5,5.63,32,19,0,6.92,1.96,0.05,7,33,11,3,1,16,2,22,23.24,27.27,21.92,30.14,-0.22,0.11,1.91,13.23,1.8,2.23,0.98,1.24,1.92,0.23
@pro,88.6,7,9,109,516,99,153,95,132,479,17,167,870,105,365,3187,0.86,10.18,8.26,54,37,1,4.73,5.04,0.15,3,34,16,6,0,23,2,28,31.19,37.5,24.21,29.47,0.08,0.1,1.23,5.82,1.12,1.73,1.07,1.49,5.41,0.19
[]D[][V][]D,8.2,-3,1,11,55,10,12,17,19,37,4,14,70,5,29,370,1.58,28.57,9.09,2,2,0,5.0,2.18,0.1,0,2,1,0,1,7,0,6,18.18,0.0,41.18,35.29,-0.37,0.12,1.34,6.71,1.22,1.46,2.07,2.32,4.51,0.49
\m\=^_^=/m/,17.700000000000003,-4,1,23,170,22,27,13,13,151,6,30,151,5,61,554,0.48,20.0,4.35,5,0,0,7.39,11.62,0.27,2,5,1,0,1,6,1,5,21.74,0.0,46.15,38.46,-0.23,0.06,1.3,9.6,1.24,1.53,0.73,0.73,8.53,0.34
\n,6.6,-2,0,8,129,8,11,8,8,4,0,12,50,0,20,335,0.73,0.0,0.0,3,0,0,16.12,0.5,0.01,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.3,0.0,1.21,19.55,1.21,1.67,1.21,1.21,0.61,0.0
`ArryKane,45.0,-10,0,43,219,43,60,55,62,410,9,80,436,35,179,1467,1.03,11.25,0.0,17,7,0,5.09,7.45,0.28,1,12,7,2,0,16,1,20,27.91,28.57,29.09,36.36,-0.22,0.0,0.96,4.87,0.96,1.33,1.22,1.38,9.11,0.2
`~`,43.0,15,5,51,317,45,60,44,48,265,7,76,374,115,171,1631,0.8,9.21,9.8,15,4,1,6.22,6.02,0.16,2,12,6,4,0,14,2,21,23.53,66.67,31.82,47.73,0.35,0.12,1.19,7.37,1.05,1.4,1.02,1.12,6.16,0.16
A Straw Hat,51.8,-2,6,52,381,44,78,71,76,268,9,93,418,103,182,2083,0.97,9.68,11.54,34,5,2,7.33,3.77,0.13,5,18,8,2,0,22,6,26,34.62,25.0,30.99,36.62,-0.04,0.12,1.0,7.36,0.85,1.51,1.37,1.47,5.17,0.17
aardvark,17.9,5,4,16,174,12,19,27,32,92,7,32,198,20,82,746,1.68,21.88,25.0,7,5,0,10.88,3.41,0.12,3,0,0,0,0,6,3,9,0.0,0.0,22.22,33.33,0.28,0.22,0.89,9.72,0.67,1.06,1.51,1.79,5.14,0.39
aaron,59.3,7,4,67,415,62,80,52,64,351,13,116,653,20,262,1731,0.8,11.21,5.97,18,12,1,6.19,6.75,0.2,1,14,7,0,0,14,4,18,20.9,0.0,26.92,34.62,0.12,0.07,1.13,7.0,1.05,1.35,0.88,1.08,5.92,0.22
Able,58.1,-5,6,84,575,77,96,68,76,352,8,120,572,20,228,1755,0.79,6.67,7.14,19,8,1,6.85,5.18,0.2,6,17,7,4,1,17,2,21,20.24,57.14,25.0,30.88,-0.09,0.1,1.45,9.9,1.33,1.65,1.17,1.31,6.06,0.14
Acuraun,36.6,0,2,27,264,25,39,52,54,307,7,71,295,15,117,1375,1.38,9.86,7.41,14,2,0,9.78,5.9,0.22,3,3,2,1,0,12,5,15,11.11,50.0,23.08,28.85,0.0,0.05,0.74,7.21,0.68,1.07,1.42,1.48,8.39,0.19
Adamn,108.1,11,14,149,1204,132,157,116,155,643,33,191,1110,173,470,3906,0.99,17.28,9.4,25,39,3,8.08,5.54,0.16,9,30,17,9,0,28,8,43,20.13,52.94,24.14,37.07,0.1,0.13,1.38,11.14,1.22,1.45,1.07,1.43,5.95,0.31
