Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %
eee,Red,8.2,1,3,15,126,12,12,11,11,16,3,16,108,0,42,319,0.92,18.75,20.0,0,0,0,8.4,1.45,0.05,1,2,1,0,0,1,0,1,13.33,0.0,9.09,9.09
ObliqueOwl,Red,8.2,1,0,13,85,12,13,9,9,22,1,16,105,0,42,319,0.69,6.25,0.0,1,0,1,6.54,2.44,0.07,0,2,1,0,0,1,0,1,15.38,0.0,11.11,11.11
helprefugees,Red,8.2,1,0,9,52,9,11,7,9,44,4,16,112,0,44,319,0.82,25.0,0.0,2,2,0,5.78,6.29,0.14,0,1,0,0,0,2,1,2,11.11,0.0,28.57,28.57
Toidi,Blue,8.2,-1,0,10,98,10,10,12,12,30,0,16,76,0,30,313,1.2,0.0,0.0,0,0,0,9.8,2.5,0.1,2,3,1,0,0,3,1,3,30.0,0.0,25.0,25.0
LogisticMap,Blue,8.2,-1,1,9,37,8,9,9,9,55,1,16,106,0,42,313,1.0,6.25,11.11,1,0,0,4.11,6.11,0.18,0,2,0,0,0,2,0,3,22.22,0.0,22.22,33.33
o3,Blue,8.2,-1,1,14,66,13,14,14,14,9,4,16,115,0,46,313,1.0,25.0,7.14,1,0,0,4.71,0.64,0.03,0,4,0,0,0,3,1,5,28.57,0.0,21.43,35.71
LiddiLidd,Blue,8.2,-1,1,10,118,9,9,7,8,66,2,16,51,0,20,313,0.89,12.5,10.0,0,1,0,11.8,9.43,0.21,3,2,0,0,0,1,0,1,20.0,0.0,14.29,14.29
o o l e r,Red,8.2,1,1,10,50,9,10,13,13,54,1,16,100,0,40,319,1.3,6.25,10.0,1,0,0,5.0,4.15,0.17,0,4,1,0,0,7,2,9,40.0,0.0,53.85,69.23
