Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %,matchId,mapName
Witcher,Red,0.9,-1,0,1,11,1,1,0,0,16,0,0,5,0,2,7,0.0,0.0,0.0,0,0,0,11.0,0.0,2.29,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3970277,Asida
Anti_Social,Red,0.9,-1,0,1,0,1,1,2,2,29,0,0,5,0,2,7,2.0,0.0,0.0,0,0,0,0.0,14.5,4.14,0,1,0,0,0,2,0,2,100.0,0.0,100.0,100.0,3970277,Asida
skee lo,Blue,0.9,1,0,0,0,0,0,1,1,21,0,0,0,3,0,11,0.0,0.0,0.0,0,0,0,0.0,21.0,1.91,0,0,0,0,0,1,0,1,0.0,0.0,100.0,100.0,3970277,Asida
jerm,Blue,0.9,1,1,2,6,1,1,1,1,2,0,0,5,0,2,11,1.0,0.0,50.0,0,0,0,3.0,2.0,0.18,0,1,0,0,0,0,0,0,50.0,0.0,0.0,0.0,3970277,Asida
DibuMartinez,Blue,0.9,1,0,1,1,1,1,0,0,0,0,0,15,5,7,11,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,100.0,0.0,0.0,0.0,3970277,Asida
FL,Red,0.9,-1,0,0,0,0,0,1,1,40,0,0,0,0,0,7,0.0,0.0,0.0,0,0,0,0.0,40.0,5.71,0,0,0,0,0,1,0,1,0.0,0.0,100.0,100.0,3970277,Asida
Doris,Blue,0.9,1,0,1,0,1,1,0,0,24,0,0,5,0,2,11,0.0,0.0,0.0,0,0,0,0.0,0.0,2.18,0,1,0,0,0,0,0,0,100.0,0.0,0.0,0.0,3970277,Asida
KING KRULE,Red,0.3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3970277,Asida
Notgreat,Blue,8.0,2,3,14,56,11,15,2,2,16,1,21,66,0,26,245,0.13,4.76,21.43,4,0,0,4.0,8.0,0.07,0,5,2,2,0,1,0,1,35.71,100.0,50.0,50.0,3970278,Pilot 3
twirly,Red,8.0,-2,0,2,9,2,6,13,14,88,4,21,47,0,18,237,2.33,19.05,0.0,4,1,0,4.5,6.77,0.37,0,1,0,0,0,3,0,3,50.0,0.0,23.08,23.08,3970278,Pilot 3
urkel,Blue,8.0,2,1,14,117,13,16,5,5,39,3,21,72,0,28,245,0.31,14.29,7.14,3,0,0,8.36,7.8,0.16,2,2,0,0,0,3,1,3,14.29,0.0,60.0,60.0,3970278,Pilot 3
555555555555,Red,7.9,-2,2,10,103,7,9,5,8,36,4,21,52,0,20,237,0.89,19.05,20.0,2,3,1,10.3,7.2,0.15,0,0,1,0,0,3,0,3,0.0,0.0,60.0,60.0,3970278,Pilot 3
Cupid,Red,8.0,-2,2,13,68,11,11,6,13,15,4,21,71,0,28,237,1.18,19.05,15.38,0,7,0,5.23,2.5,0.06,0,6,1,0,0,2,0,3,46.15,0.0,33.33,50.0,3970278,Pilot 3
Mystic,Blue,8.0,2,1,5,22,4,13,10,12,60,3,21,45,0,18,245,0.92,14.29,20.0,9,2,0,4.4,6.0,0.24,0,1,1,1,0,4,1,4,20.0,100.0,40.0,40.0,3970278,Pilot 3
JimBobCooter,Blue,8.0,2,1,5,42,4,7,11,11,56,1,21,45,0,18,245,1.57,4.76,20.0,3,0,0,8.4,5.09,0.23,0,0,0,0,1,3,1,3,0.0,0.0,27.27,27.27,3970278,Pilot 3
TheBadBall,Red,8.0,-2,0,11,65,11,14,3,3,60,1,21,78,0,30,237,0.21,4.76,0.0,3,0,0,5.91,20.0,0.25,0,4,0,0,0,0,1,1,36.36,0.0,0.0,33.33,3970278,Pilot 3
555555555555,Blue,0.2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,8,0.0,0.0,0.0,0,0,0,0.0,1.0,0.12,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3970280,Audacity 2
twirly,Red,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0.0,0.0,0.0,0,0,0,0.0,0.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3970280,Audacity 2
urkel,Blue,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0.0,0.0,0.0,0,0,0,0.0,0.0,0.12,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3970280,Audacity 2
Notgreat,Red,0.2,0,0,1,0,0,0,0,0,0,0,0,5,0,2,10,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,1,0,0,0,0,0,0,100.0,0.0,0.0,0.0,3970280,Audacity 2
A Straw Hat,Blue,0.2,0,0,1,10,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0,0,1,10.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3970280,Audacity 2
Mystic,Red,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0.0,0.0,0.0,0,0,0,0.0,0.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3970280,Audacity 2
JimBobCooter,Red,0.2,0,0,1,8,1,1,0,0,0,0,0,5,0,2,10,0.0,0.0,0.0,0,0,0,8.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3970280,Audacity 2
Chritt,Red,3.9,5,2,6,25,4,7,5,5,18,0,6,56,0,22,103,0.71,0.0,33.33,3,0,0,4.17,3.6,0.17,0,2,2,1,0,1,0,1,33.33,50.0,20.0,20.0,3970287,OTI Jardim
Witcher,Red,3.9,5,0,3,15,3,3,3,3,100,1,6,37,0,14,103,1.0,16.67,0.0,0,0,0,5.0,33.33,0.97,0,1,0,0,0,2,0,3,33.33,0.0,66.67,100.0,3970287,OTI Jardim
